id,region,university,center,category,title,posted_date,url,summary,board,source,confidence,collected_at,institution_id
donga-edu-01,부산,동아대학교,대학 본부(교원공채),일반강사채용(참고),2026학년도 1학기 강사 초빙 공고,2026-01,https://www.jinhakpro.com/recruit/37049,접수 2026-01-23 09:00 ~ 01-29 13:00. 기초심사+전공심사(+면접). 평생교육원 공고 아님.,진학프로,web_search,high,2026-09-21,donga-edu
dit-ce-01,부산,동의과학대학교,평생교육원,강사모집,[평생교육원] 스포츠 강사 채용 공고 (2026년 어르신 스포츠강좌 프로그램 지원사업),2026-04-22,https://m.dit.ac.kr/kr/?idx=17100&mode=view&pCode=notice,2026년 어르신 스포츠강좌 프로그램 지원사업 강사 채용. 첨부: 강사지원서(hwp).,대학 공지사항,web_search,high,2026-09-21,dit-ce
deu-lifelong-01,부산,동의대학교,평생교육원(미래교육원),강사모집,학점은행제 강사 모집(상시),,https://lifelong.deu.ac.kr/Board/BoardView.aspx?CategoryNo=5&PageNo=1&KeyWord=&KeyField=TITLE&CategoryYN=Y&BoardNo=190984&BoardMstNo=1&MENU_ID=141&Secret=&Secret_YN=N,"제출서류: 지원서(이력서), 연구 및 활동 실적물(최근 2년), 개인정보동의서. 첨부: 학점은행제 강사 자격 기준, 이력서 양식. 평생교육원강사관리위원회가 기초·전공심사 후 필요 시 개별 연락. 문의 051-890-1947~8.",공지사항,web_search,high,2026-09-21,deu-lifelong
cup-edu-01,부산,부산가톨릭대학교,평생교육원,강사인증/등록,2025학년도 강사 인증 신청자 모집,2026-01-27,https://edu.cup.ac.kr/,평생교육원 강사 인증(등록) 신청자 모집 공지. 상세는 평생교육원 공지사항 확인. 문의 051-519-0492~4.,공지사항,web_search,medium,2026-09-21,cup-edu
bnue-01,부산,부산교육대학교,대학 본부,일반강사채용(참고),2025학년도 2학기(1차) 강사 채용공고,2025,https://www.kcue.or.kr/notice/sub04.php?pagenumber=1&at=view&idx=657669,평생교육원 공고 아님.,대교협,web_search,high,2026-09-21,bnue
pnu-sce-02,부산,부산대학교,미래시민교육원(舊 평생교육원),강좌개설제안(상시),강좌개설신청 (홈페이지 상시 접수 메뉴),,https://sce.pusan.ac.kr/#none,,미래시민교육원 메인,scraper,high,2026-09-21,pnu-sce
pnu-sce-01,부산,부산대학교,미래시민교육원,강사공지,2026학년도 2학기 강사 공지사항,2026-08-27,https://d-sce.pusan.ac.kr/kor/CMS/Board/Board.do?mCode=MN052,2학기 강사 대상 공지(학습비 감면 신청 안내와 함께 게시). 강좌개설 신청 절차는 게시판에서 확인 필요. 문의 051-510-1234~5.,공지사항,web_search,medium,2026-09-21,pnu-sce
bhu-cedu-01,부산,부산보건대학교,평생교육원,강좌개설제안(상시),신규강좌 개설 신청 (홈페이지 상시 접수 메뉴),,https://life.bhu.ac.kr/,"홈페이지에 '신규강좌 개설 신청' 메뉴 운영. 문의 051-200-3244, 1528.",홈페이지 메뉴,web_search,medium,2026-09-21,bhu-cedu
bwc-01,부산,부산여자대학교,대학 본부,일반강사채용(참고),2025학년도 1학기 2차 강사 공개 채용 공고,2025,https://www.jinhakpro.com/recruit/22963,평생교육원 공고 아님.,진학프로,web_search,high,2026-09-21,bwc
pia-edu-03,부산,부산예술대학교,평생교육원,강사모집,2025학년도 여름학기 평생교육원 개설강좌 및 강사모집 공고,,https://pia-edu.com/notice/?bmode=view&idx=161131935,여름학기 개설강좌 및 강사 공모 공고(게시글 URL 확보).,공지사항,web_search,high,2026-09-21,pia-edu
pia-edu-02,부산,부산예술대학교,평생교육원,강사모집,2025학년도 겨울학기 평생교육원 개설강좌 및 강사모집 공고,2025-10-21,https://pia-edu.com/notice/?bmode=view&idx=168278318,겨울학기 개설강좌 및 강사 공모 공고(게시글 URL 확보).,공지사항,web_search,high,2026-09-21,pia-edu
pia-edu-01,부산,부산예술대학교,평생교육원,강사모집,2026학년도 1학기 평생교육원 개설강좌 및 강사모집 공고,2026-01-19,https://pia-edu.com/notice/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=169560243&t=board,학기별로 개설강좌와 강사를 함께 공모하는 정기 공고. 검색 스니펫에서 제목만 확인되어 개별 게시글 URL은 공지 목록에서 확인 필요. 문의 051-622-0056 / 051-628-3990.,공지사항,web_search,medium,2026-09-21,pia-edu
pia-edu-04,부산,부산예술대학교,평생교육원,강사모집,2026학년도 여름학기 평생교육원 개설강좌 및 강사모집 공고,2026-05-12,https://pia-edu.com/notice/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=171246486&t=board,,공지사항,scraper,high,2026-09-21,pia-edu
bufs-lec-01,부산,부산외국어대학교,평생교육원,강사모집,2021학년도 평생교육 여름학기 정규강좌 신규 강좌 및 강사 모집,2021,https://lec.bufs.ac.kr/lec/index.php?pCode=MN000017&mode=view&idx=66631,"정규강좌 및 민간자격증 과정 신규 강좌·강사 모집(과거 공고, 게시판 위치 참고).",공지사항,web_search,high,2026-09-21,bufs-lec
silla-soc-01,부산,신라대학교,평생교육원,강좌개설신청,2026학년도 2학기 평생교육부 강좌 개설 희망자 모집 및 서류 제출 안내,2026-08-03,https://soc.silla.ac.kr/Home/Sub04/NoticeBoard01.aspx?id=1116,,공지사항,scraper,high,2026-09-21,silla-soc
ysu-edu-02,부산,영산대학교,평생교육원,강사모집,2025년도 봄학기 일반과정 신규강좌 및 강사모집,2025,https://ysedu.ysu.ac.kr/board/notice_edu/list.asp,"학기별 신규강좌·강사 모집. 강좌개설 신청은 교양·건강·스포츠·컴퓨터·창업 등 전 분야 가능. 문의 051-540-7045, 7265.",공지사항,web_search,medium,2026-09-21,ysu-edu
ysu-edu-01,부산,영산대학교,대학 본부,일반강사채용(참고),2026학년도 하반기 겸임교수 공개채용 공고,2026,https://www.jinhakpro.com/recruit/45759,평생교육원 공고 아님.,진학프로,web_search,high,2026-09-21,ysu-edu
uc-edu-02,울산,울산과학대학교,평생교육원,강좌개설제안(상시),강좌 개설 제안 (홈페이지 상시 접수 메뉴),,https://edu.uc.ac.kr/edu/CMS/Board/Board.do?mCode=MN080,,공지사항,scraper,high,2026-09-21,uc-edu
uc-edu-01,울산,울산과학대학교,평생교육원,강좌개설제안(상시),강좌개설제안 (홈페이지 상시 접수 메뉴),,https://www.uc.ac.kr/edu/,별도 공고 없이 홈페이지 '강좌개설제안' 메뉴로 프로그램 개설 제안을 상시 접수. 문의 052-230-0822.,홈페이지 메뉴,web_search,medium,2026-09-21,uc-edu
uc-edu-03,울산,울산과학대학교,평생교육원,강좌개설제안(상시),성인 태권도 강좌 개설제안 (홈페이지 상시 접수 메뉴),,https://edu.uc.ac.kr/edu/CMS/Board/Board.do?mCode=MN080&mode=view&mgr_seq=394&board_seq=39469,,강좌개설제안,scraper,high,2026-09-21,uc-edu
ulsan-cec-02,울산,울산대학교,평생교육원,강사모집,2025년 하반기 평생교육 강사 위수탁 추가모집 공고,2025,https://cec.ulsan.ac.kr/cec/3978?action=view&no=272609,하반기 강사 위수탁 추가모집. 게시글 번호(no=272609)는 검색 결과 기준 추정.,공지사항,web_search,medium,2026-09-21,ulsan-cec
ulsan-cec-01,울산,울산대학교,평생교육원,강좌개설제안(상시),신규 강좌 개설 제안서 안내,2025-09-26,https://cec.ulsan.ac.kr/cec/3978?action=view&no=270342,"평생교육 전 분야 대상 상시 접수. 홈페이지 '강좌개설제안서' 제출 → 전화 확인 → 운영위원회 심의 → 개설 확정 시 개별 연락. 문의 052-259-2018, 2020 / cec2020@mail.ulsan.ac.kr.",공지사항,web_search,high,2026-09-21,ulsan-cec
kaya-01,경남,가야대학교,평생교육원,강사인증/등록,강사지원 (홈페이지 상시 접수 메뉴),,https://life.kaya.ac.kr/pages/applicant/application.jsp,평생교육원 홈페이지에 '강사지원' 메뉴 운영(상시). 문의 055-344-5210.,홈페이지 메뉴,web_search,medium,2026-09-21,kaya
kyungnam-cce-02,경남,경남대학교,평생교육원,강사인증/등록,창원시 평생학습정보망 강사등록 안내,,https://www.kyungnam.ac.kr/cce/3489/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGY2NlJTJGMjQxJTJGMTgxMzkxJTJGYXJ0Y2xWaWV3LmRvJTNG,창원시 평생학습정보망(강사은행) 강사 등록 방법 안내.,공지사항,web_search,medium,2026-09-21,kyungnam-cce
kyungnam-cce-01,경남,경남대학교,평생교육원,강사모집,2026년 여름방학특강 개설 교강사 모집,2026,https://www.kyungnam.ac.kr/cce/14630/subview.do,평생교육원 채용공고 게시판에 게시. 문의 055-249-2720.,채용공고,web_search,medium,2026-09-21,kyungnam-cce
gnu-longlife-01,경남,경상국립대학교,평생교육원,강좌개설신청,[강사공지] 2026년도 2학기 강좌 개설 신청 안내,2026-06-02,https://longlife.gnu.ac.kr/sub.jsp?sID=0201,2학기 강좌 개설(강사) 신청 안내. 홈페이지 '강좌개설신청' 메뉴로 접수.,강사공지,web_search,high,2026-09-21,gnu-longlife
changwon-lifelong-01,경남,국립창원대학교,평생교육원,강사공지,자료실 > 강사 (강사용 서식·안내 게시판),,https://www.changwon.ac.kr/lifelong/na/ntt/selectNttList.do?mi=4771&bbsId=1786,강사 대상 서식·안내 게시판. 공개 강사모집 공고는 검색에서 미확인. 문의 055-213-2561~5.,자료실,web_search,medium,2026-09-21,changwon-lifelong
changwon-lifelong-02,경남,국립창원대학교,평생교육원,강좌개설공모,2026학년도 제2학기 신규 개설강좌 공모,2026-05-13,https://www.changwon.ac.kr/lifelong/na/ntt/selectNttList.do?mi=4774&bbsId=1787,,공지사항,scraper,medium,2026-09-21,changwon-lifelong
masan-01,경남,마산대학교,평생교육원,강좌개설제안(상시),강좌 개설 신청 (홈페이지 상시 접수 메뉴),,https://lifelong.masan.ac.kr/lectopen,,공지사항,scraper,high,2026-09-21,masan
masan-04,경남,마산대학교,평생교육원,강좌개설공모,[직업능력교육] 2025학년도 2학기 창원시 · 함안군 및 창녕군 위탁 평생교육과정 신규강좌 개설 제안 공모 안내,2025-06-12,https://lifelong.masan.ac.kr/lectopen/view/2025/20/010/999/13,,공지사항,scraper,high,2026-09-21,masan
masan-03,경남,마산대학교,평생교육원,강좌개설공모,[직업능력교육] 2026학년도 2학기 창원시 · 함안군 및 창녕군 위탁 평생교육과정 신규강좌 개설 제안 공모 안내,2026-06-01,https://lifelong.masan.ac.kr/lectopen/view/2026/20/010/999/13,,공지사항,scraper,high,2026-09-21,masan
inje-soc-01,경남,인제대학교,대학 본부,일반강사채용(참고),2026학년도 1학기 1차 강사 채용 공고,2026,https://www.jinhakpro.com/recruit/35038,학부 강사 채용. 평생교육원 공고 아님.,진학프로,web_search,high,2026-09-21,inje-soc
jhc-lifelong-01,경남,진주보건대학교,평생교육원,강좌개설신청,2026학년도 2학기 진주보건대학교 평생교육원 강좌 개설 신청 공고,2026-07-14,https://lifelong.jhc.ac.kr/bbs/board.php?bo_table=sub4_1&wr_id=527,,공지사항,scraper,high,2026-09-21,jhc-lifelong
